Model-Method,MAE,MSE,R2,MAPE
Linear Regression - All Features,14561.554824352886,473185171.9471088,0.09259541103941982,2610432922497.0537
Lasso - All Features,14560.955829108805,473175608.8294284,0.09261374977313863,2611613682631.8105
Random Forest - All Features,1607.902134234528,18071257.84480006,0.9653456125237704,59050780654.08005
XGBoost - All Features,2457.1328579313654,22774322.78758944,0.9563267696599798,612613763898.424
LightGBM - All Features,2906.8302011025885,27096387.62286345,0.9480385524929567,737133681748.5979
CatBoost - All Features,1934.9274386233426,15118453.812372385,0.9710080636912505,447224021890.468
