Model,MAE,MSE,R2,MAPE (%)
Linear Regression,14561.554824352886,473185171.9471088,0.09259541103941982,2610432922497.0537
Lasso,14561.31557695537,473410858.6508759,0.09216262243401407,2617428025627.7344
Random Forest,1614.1331422195599,18269538.41293692,0.9649653793548214,66197964980.66044
XGBoost,3123.2660862670023,33389188.50802952,0.9359711489918742,833333167617.8649
LightGBM,4105.25001329957,49792217.10680196,0.9045158450098604,1160192387025.1873
CatBoost,3310.0524790627824,36102271.87758689,0.9307683986824368,763085039294.3475
